Preset_Config,Card_Name,Current_Retail_Price_USD,VRAM_GB,MIG_Support,TDP_Watts,Slot_Width,NVLink_Support,CUDA_Cores,Generation,PCIe_Generation,Composite_Score,Price_Efficiency_Score,VRAM_Score,MIG_Score,Power_Efficiency_Score,Form_Factor_Score,Connectivity_Score,Weight_Price_Efficiency,Weight_VRAM_Capacity,Weight_MIG_Capability,Weight_Power_Efficiency,Weight_Form_Factor,Weight_Connectivity
balanced,RTX 6000 Ada,7200,48,4,300,2,1,18176,Ada,4,50.81,23.2,50.0,57.14,56.8,66.67,75.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX 5000 Ada,6650,32,4,250,2,0,12800,Ada,4,37.28,17.69,33.33,57.14,48.0,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX 4500 Ada,2350,24,4,210,2,0,7680,Ada,4,36.64,30.04,25.0,57.14,34.29,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX 4000 Ada SFF,1250,20,4,70,2,0,6144,Ada,4,46.79,45.18,20.83,57.14,82.29,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A6000,4950,48,0,300,2,1,10752,Ampere,4,37.95,19.96,50.0,0.0,33.6,66.67,75.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A5500,2500,24,0,230,2,1,7424,Ampere,4,34.28,27.29,25.0,0.0,30.26,66.67,75.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A5000,2400,24,0,230,2,1,8192,Ampere,4,35.77,31.37,25.0,0.0,33.39,66.67,75.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A4500,1800,20,0,200,2,1,7168,Ampere,4,36.27,36.6,20.83,0.0,33.6,66.67,75.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A4000,1000,16,0,140,1,0,6144,Ampere,4,37.37,56.47,16.67,0.0,41.14,100.0,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A2000 12GB,620,12,0,70,2,0,3328,Ampere,4,31.94,49.34,12.5,0.0,44.57,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX A2000 6GB,560,6,0,70,2,0,3328,Ampere,4,32.01,54.62,6.25,0.0,44.57,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,L40S,15000,48,7,350,2,0,18176,Ada,4,45.5,11.14,50.0,100.0,48.69,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,L40,12000,48,7,300,1,0,18176,Ada,4,50.75,13.92,50.0,100.0,56.8,100.0,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,A800 40GB,20000,40,7,300,2,1,10752,Ampere,4,47.53,4.94,41.67,100.0,33.6,66.67,75.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,A40,4500,48,7,300,2,0,10752,Ampere,4,45.95,21.96,50.0,100.0,33.6,66.67,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,H100 PCIe 80GB,30000,80,7,350,2,0,16896,Hopper,5,53.92,5.18,83.33,100.0,45.26,66.67,50.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,H800 PCIe 80GB,30000,80,7,350,2,0,14592,Hopper,5,52.81,4.47,83.33,100.0,39.09,66.67,50.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,T1000 8GB,280,8,0,50,1,0,896,Turing,3,21.54,29.41,8.33,0.0,16.8,100.0,0.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,T1000 4GB,250,4,0,50,1,0,896,Turing,3,21.59,32.94,4.17,0.0,16.8,100.0,0.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,T600,150,4,0,40,1,0,640,Turing,3,22.89,39.22,4.17,0.0,15.0,100.0,0.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,T400,120,2,0,30,1,0,512,Turing,3,22.62,39.22,2.08,0.0,16.0,100.0,0.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,L4,3500,24,7,72,1,0,7680,Ada,4,53.79,20.17,25.0,100.0,100.0,100.0,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,A2,2800,16,7,60,1,0,3584,Ampere,4,43.42,11.76,16.67,100.0,56.0,100.0,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX 4090,1650,24,0,450,3,0,16384,Ada,4,40.02,91.27,25.0,0.0,34.13,33.33,25.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX 5090,2000,32,0,575,2,0,21760,Blackwell,5,51.16,100.0,33.33,0.0,35.48,66.67,50.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX PRO 6000 Blackwell,8900,96,4,400,2,1,20480,Blackwell,5,62.73,21.15,100.0,57.14,48.0,66.67,100.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX PRO 5000 Blackwell,6000,48,4,320,2,0,15360,Blackwell,5,45.37,23.53,50.0,57.14,45.0,66.67,50.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX PRO 4500 Blackwell,4000,32,4,250,2,0,10240,Blackwell,5,41.05,23.53,33.33,57.14,38.4,66.67,50.0,0.25,0.2,0.15,0.15,0.1,0.15
balanced,RTX PRO 4000 Blackwell,2500,24,4,180,2,0,7680,Blackwell,5,40.8,28.24,25.0,57.14,40.0,66.67,50.0,0.25,0.2,0.15,0.15,0.1,0.15
ai_training,RTX 6000 Ada,7200,48,4,300,2,1,18176,Ada,4,53.03,23.2,50.0,57.14,56.8,66.67,75.0,0.15,0.3,0.25,0.1,0.05,0.15
